energy_source,date,production_mwh
1.4 Thermal power generation,2010M08,402860
1.1 Hydro power generation,2010M09,8609302
1.2 Wind power generation,2010M09,51135
1.4 Thermal power generation,2010M09,228406
1.1 Hydro power generation,2010M10,10963316
1.2 Wind power generation,2010M10,119217
1.4 Thermal power generation,2010M10,266772
1.1 Hydro power generation,2010M11,11643542
1.2 Wind power generation,2010M11,91080
1.4 Thermal power generation,2010M11,446187
1.1 Hydro power generation,2010M12,13365401
1.2 Wind power generation,2010M12,102612
1.4 Thermal power generation,2010M12,599478
1.1 Hydro power generation,2011M01,10524386
1.2 Wind power generation,2011M01,139125
1.4 Thermal power generation,2011M01,607536
1.1 Hydro power generation,2011M02,9865867
1.2 Wind power generation,2011M02,105934
1.4 Thermal power generation,2011M02,579136
1.1 Hydro power generation,2011M03,9369715
1.2 Wind power generation,2011M03,151236
1.4 Thermal power generation,2011M03,630068
1.1 Hydro power generation,2011M04,7793373
1.2 Wind power generation,2011M04,109454
1.4 Thermal power generation,2011M04,530924
1.1 Hydro power generation,2011M05,8141646
1.2 Wind power generation,2011M05,71401
1.4 Thermal power generation,2011M05,429838
1.1 Hydro power generation,2011M06,9015881
1.2 Wind power generation,2011M06,62514
1.4 Thermal power generation,2011M06,278564
1.1 Hydro power generation,2011M07,10228637
1.2 Wind power generation,2011M07,61537
1.4 Thermal power generation,2011M07,251926
1.1 Hydro power generation,2011M08,10125321
1.2 Wind power generation,2011M08,57454
1.4 Thermal power generation,2011M08,312147
1.1 Hydro power generation,2011M09,10059072
1.2 Wind power generation,2011M09,109345
1.4 Thermal power generation,2011M09,260824
1.1 Hydro power generation,2011M10,11748703
1.2 Wind power generation,2011M10,153775
1.4 Thermal power generation,2011M10,274730
1.1 Hydro power generation,2011M11,12651390
1.2 Wind power generation,2011M11,127852
1.4 Thermal power generation,2011M11,310414
1.1 Hydro power generation,2011M12,12555351
1.2 Wind power generation,2011M12,143664
1.4 Thermal power generation,2011M12,305691
1.1 Hydro power generation,2012M01,15006054
1.2 Wind power generation,2012M01,140166
1.4 Thermal power generation,2012M01,281906
1.1 Hydro power generation,2012M02,13937887
1.2 Wind power generation,2012M02,171252
1.4 Thermal power generation,2012M02,321903
1.1 Hydro power generation,2012M03,12413809
1.2 Wind power generation,2012M03,182947
1.4 Thermal power generation,2012M03,283728
1.1 Hydro power generation,2012M04,11710654
1.2 Wind power generation,2012M04,84849
1.4 Thermal power generation,2012M04,285885
1.1 Hydro power generation,2012M05,10808425
1.2 Wind power generation,2012M05,102108
1.4 Thermal power generation,2012M05,250453
1.1 Hydro power generation,2012M06,10120319
1.2 Wind power generation,2012M06,71929
1.4 Thermal power generation,2012M06,265486
1.1 Hydro power generation,2012M07,10012282
1.2 Wind power generation,2012M07,86612
1.4 Thermal power generation,2012M07,210988
1.1 Hydro power generation,2012M08,10684799
1.2 Wind power generation,2012M08,74154
1.4 Thermal power generation,2012M08,307648
1.1 Hydro power generation,2012M09,10521127
1.2 Wind power generation,2012M09,138828
1.4 Thermal power generation,2012M09,244392
1.1 Hydro power generation,2012M10,11765389
1.2 Wind power generation,2012M10,139075
1.4 Thermal power generation,2012M10,306187
1.1 Hydro power generation,2012M11,11825234
1.2 Wind power generation,2012M11,176728
1.4 Thermal power generation,2012M11,292893
1.1 Hydro power generation,2012M12,14092365
1.2 Wind power generation,2012M12,187327
1.4 Thermal power generation,2012M12,339780
1.1 Hydro power generation,2013M01,14148246
1.2 Wind power generation,2013M01,146849
1.4 Thermal power generation,2013M01,310830
1.1 Hydro power generation,2013M02,12093357
1.2 Wind power generation,2013M02,139935
1.4 Thermal power generation,2013M02,191707
1.1 Hydro power generation,2013M03,11950284
1.2 Wind power generation,2013M03,170802
